card_code,card_company,card_company_eng,card_link,card_name,card_type
2251,국민카드,kb,"https://www.banksalad.com/cards/2251/issue",아이행복 check(KB국민),check
2264,기업카드,ibk,"https://www.banksalad.com/cards/2264/issue",참! 좋은 kt wiz 카드[신용],credit
2307,삼성카드,samsung,"https://www.banksalad.com/cards/2307/issue",신세계이마트 삼성카드4(포인트),credit
2320,기업카드,ibk,"https://www.banksalad.com/cards/2320/issue",국민행복카드[신용] for Baby Service(A-Type),credit
2321,기업카드,ibk,"https://www.banksalad.com/cards/2321/issue",국민행복카드[신용] for Children Service(B-Type),credit
2322,기업카드,ibk,"https://www.banksalad.com/cards/2322/issue",국민행복카드[신용] for Green Life Service(C-Type),credit
2324,국민카드,kb,"https://www.banksalad.com/cards/2324/issue",ONE check,check
2326,국민카드,kb,"https://www.banksalad.com/cards/2326/issue",스피드메이트 check,check
2359,삼성카드,samsung,"https://www.banksalad.com/cards/2359/issue",S-OIL 삼성카드 & POINT,credit
2368,신한카드,shinhan,"https://www.banksalad.com/cards/2368/issue",신한카드 The CLASSIC+ (아시아나항공),credit
2372,우리카드,woori,"https://www.banksalad.com/cards/2372/issue",자유로운 여행카드(SKYPASS),credit
2396,신한카드,shinhan,"https://www.banksalad.com/cards/2396/issue",신한카드 Mr.Life,credit
2478,우리카드,woori,"https://www.banksalad.com/cards/2478/issue",우리 아이행복check,check
2480,우리카드,woori,"https://www.banksalad.com/cards/2480/issue",해피포인트 우리check,check
2502,국민카드,kb,"https://www.banksalad.com/cards/2502/issue",KB국민 다담카드(스마트 OTP),credit
2564,우리카드,woori,"https://www.banksalad.com/cards/2564/issue",자유로운 여행카드 (Asiana Club),credit
2565,신한카드,shinhan,"https://www.banksalad.com/cards/2565/issue",신한카드 YOLO Tasty,credit
2583,신한카드,shinhan,"https://www.banksalad.com/cards/2583/issue",신한카드 주거래 신용,credit
2633,국민카드,kb,"https://www.banksalad.com/cards/2633/issue",나라사랑카드(KB국민),check
2653,우리카드,woori,"https://www.banksalad.com/cards/2653/issue",그랑블루 check,check
2804,삼성카드,samsung,"https://www.banksalad.com/cards/2804/issue",삼성카드 & MILEAGE PLATINUM(스카이패스),credit
2914,신한카드,shinhan,"https://www.banksalad.com/cards/2914/issue",신한카드 하이패스(전용) 체크,check
2927,삼성카드,samsung,"https://www.banksalad.com/cards/2927/issue",삼성카드 taptap S,credit
2928,삼성카드,samsung,"https://www.banksalad.com/cards/2928/issue",삼성카드 taptap O,credit
2979,국민카드,kb,"https://www.banksalad.com/cards/2979/issue",KB국민 마일리지 가온플래티늄카드(대한항공),credit
2981,국민카드,kb,"https://www.banksalad.com/cards/2981/issue",KB국민 마일리지 가온플래티늄카드(아시아나),credit
2992,신한카드,shinhan,"https://www.banksalad.com/cards/2992/issue",신한카드 RPM+ Platinum#,credit
3046,신한카드,shinhan,"https://www.banksalad.com/cards/3046/issue",신한카드 YOLO ⓘ,credit
3065,기업카드,ibk,"https://www.banksalad.com/cards/3065/issue",용인시민카드(신용),credit
3103,삼성카드,samsung,"https://www.banksalad.com/cards/3103/issue",CU·배달의민족 삼성카드 taptap,credit
3144,신한카드,shinhan,"https://www.banksalad.com/cards/3144/issue",신한카드 후불하이패스+(하이패스 전용),credit
3171,국민카드,kb,"https://www.banksalad.com/cards/3171/issue",청춘대로 싱글 check,check
3204,국민카드,kb,"https://www.banksalad.com/cards/3204/issue",E1 LPG KB국민카드,credit
3251,국민카드,kb,"https://www.banksalad.com/cards/3251/issue",KB국민 청춘대로 매니아i카드,credit
3286,국민카드,kb,"https://www.banksalad.com/cards/3286/issue",Liiv Mate check,check
3294,신한카드,shinhan,"https://www.banksalad.com/cards/3294/issue",신한카드 The BEST-T,credit
3295,신한카드,shinhan,"https://www.banksalad.com/cards/3295/issue",신한카드 The BEST-T (대한항공),credit
3296,신한카드,shinhan,"https://www.banksalad.com/cards/3296/issue",신한카드 The BEST-T (아시아나항공),credit
3329,국민카드,kb,"https://www.banksalad.com/cards/3329/issue",아시아나 check,check
3340,NH카드,nh,"https://www.banksalad.com/cards/3340/issue",NH올원 파이카드,credit
3350,국민카드,kb,"https://www.banksalad.com/cards/3350/issue",청춘대로 톡톡카드,credit
3351,국민카드,kb,"https://www.banksalad.com/cards/3351/issue",LG U+ check,check
3374,신한카드,shinhan,"https://www.banksalad.com/cards/3374/issue",신한카드 Edu,credit
3375,기업카드,ibk,"https://www.banksalad.com/cards/3375/issue",일상의 기쁨카드(신용),credit
3377,기업카드,ibk,"https://www.banksalad.com/cards/3377/issue",일년의 설렘카드,credit
3378,국민카드,kb,"https://www.banksalad.com/cards/3378/issue",청춘대로 1코노미 카드,credit
3380,삼성카드,samsung,"https://www.banksalad.com/cards/3380/issue",삼성 페이 삼성카드 taptap,credit
3381,우리카드,woori,"https://www.banksalad.com/cards/3381/issue",ALL 다모아카드,credit
3382,우리카드,woori,"https://www.banksalad.com/cards/3382/issue",We’ll Rich 100 GOLD카드,credit
3383,우리카드,woori,"https://www.banksalad.com/cards/3383/issue",배달의민족 우리체크,check
3414,국민카드,kb,"https://www.banksalad.com/cards/3414/issue",WELCOME check,check
3420,신한카드,shinhan,"https://www.banksalad.com/cards/3420/issue",신세계 신한카드,credit
3421,신한카드,shinhan,"https://www.banksalad.com/cards/3421/issue",신세계 신한카드 (SKYPASS),credit
3422,신한카드,shinhan,"https://www.banksalad.com/cards/3422/issue",아시아나 신한카드 Air 1.5,credit
3454,신한카드,shinhan,"https://www.banksalad.com/cards/3454/issue",마이 홈플러스 신한카드,credit
3459,기업카드,ibk,"https://www.banksalad.com/cards/3459/issue",참! 좋은 다이소카드(신용),credit
3474,우리카드,woori,"https://www.banksalad.com/cards/3474/issue",위비 Five 체크,check
3482,신한카드,shinhan,"https://www.banksalad.com/cards/3482/issue",모바일 Tmoney 신한카드,credit
3483,신한카드,shinhan,"https://www.banksalad.com/cards/3483/issue",신한카드 All Pass,credit
3486,국민카드,kb,"https://www.banksalad.com/cards/3486/issue",탄탄대로 온리유카드,credit
3500,신한카드,shinhan,"https://www.banksalad.com/cards/3500/issue",신한 LOVE - 퍼스트가든,credit
3511,국민카드,kb,"https://www.banksalad.com/cards/3511/issue",가온 올포인트 check,check
3539,삼성카드,samsung,"https://www.banksalad.com/cards/3539/issue",삼성카드 taptap I,credit
3555,우리카드,woori,"https://www.banksalad.com/cards/3555/issue",위메프 우리체크,check
3558,국민카드,kb,"https://www.banksalad.com/cards/3558/issue",가온 워킹업카드,credit
3560,국민카드,kb,"https://www.banksalad.com/cards/3560/issue",H.Point check,check
3561,기업카드,ibk,"https://www.banksalad.com/cards/3561/issue",IBK-Hybrid(하이브리드)카드,hybrid
3573,기업카드,ibk,"https://www.banksalad.com/cards/3573/issue",아모레퍼시픽 IBK카드,credit
3578,신한카드,shinhan,"https://www.banksalad.com/cards/3578/issue",신한카드 Deep Dream,credit
3587,신한카드,shinhan,"https://www.banksalad.com/cards/3587/issue",LG 페이 신한카드,credit
3616,우리카드,woori,"https://www.banksalad.com/cards/3616/issue",우리 XGOLF 카드,credit
3628,신한카드,shinhan,"https://www.banksalad.com/cards/3628/issue",더본 신한카드 신용,credit
3629,신한카드,shinhan,"https://www.banksalad.com/cards/3629/issue",다이소 신한카드,credit
3631,신한카드,shinhan,"https://www.banksalad.com/cards/3631/issue",신한카드 Deep Oil,credit
3633,씨티카드,citi,"https://www.banksalad.com/cards/3633/issue",플래티늄서비스카드,check
3634,국민카드,kb,"https://www.banksalad.com/cards/3634/issue",11Pay KB국민카드,credit
3635,국민카드,kb,"https://www.banksalad.com/cards/3635/issue",톡톡 Pay카드,credit
3636,국민카드,kb,"https://www.banksalad.com/cards/3636/issue",JCB 플랫티늄 서비스,credit
3642,하나카드,hana,"https://www.banksalad.com/cards/3642/issue",Mile 1.6 대한항공,credit
3643,하나카드,hana,"https://www.banksalad.com/cards/3643/issue",Mile 1.6 아시아나,credit
3644,하나카드,hana,"https://www.banksalad.com/cards/3644/issue",통커 카드,credit
3648,롯데카드,lotte,"https://www.banksalad.com/cards/3648/issue",I＇m CHEERFUL,credit
3649,롯데카드,lotte,"https://www.banksalad.com/cards/3649/issue",I＇m JOYFUL,credit
3650,롯데카드,lotte,"https://www.banksalad.com/cards/3650/issue",I＇m GREAT,credit
3651,신한카드,shinhan,"https://www.banksalad.com/cards/3651/issue",신한카드 경차사랑 Life,credit
3654,우리카드,woori,"https://www.banksalad.com/cards/3654/issue",카드의 정석 POINT CHECK,check
3656,신한카드,shinhan,"https://www.banksalad.com/cards/3656/issue",신한카드 The ACE BLUE LABEL (스카이패스),credit
3659,신한카드,shinhan,"https://www.banksalad.com/cards/3659/issue",신한카드 Deep Dream Platinum+,credit
3661,하나카드,hana,"https://www.banksalad.com/cards/3661/issue",1Q Daily+,credit
3665,신한카드,shinhan,"https://www.banksalad.com/cards/3665/issue",신한카드 Deep Store,credit
3666,국민카드,kb,"https://www.banksalad.com/cards/3666/issue",탄탄대로 Miz&Mr 티타늄카드,credit
3668,신한카드,shinhan,"https://www.banksalad.com/cards/3668/issue",신한카드 The CLASSIC-Lite,credit
3671,하나카드,hana,"https://www.banksalad.com/cards/3671/issue",1Q Special+,credit
3682,하나카드,hana,"https://www.banksalad.com/cards/3682/issue",#tag 1 카드 Orange,credit
3683,하나카드,hana,"https://www.banksalad.com/cards/3683/issue",# tag 1 카드 Navy,credit
3697,신한카드,shinhan,"https://www.banksalad.com/cards/3697/issue",SOCAR 신한카드,credit
3709,신한카드,shinhan,"https://www.banksalad.com/cards/3709/issue",신한카드 Deep On Platinum+,credit
3711,우리카드,woori,"https://www.banksalad.com/cards/3711/issue",카드의 정석 L.POINT CHECK,check
3717,우리카드,woori,"https://www.banksalad.com/cards/3717/issue",카드의 정석 NEW우리V카드,credit
3722,하나카드,hana,"https://www.banksalad.com/cards/3722/issue",my pass 마패 카드,credit
3724,국민카드,kb,"https://www.banksalad.com/cards/3724/issue",탄탄대로 오토카드,credit
3725,국민카드,kb,"https://www.banksalad.com/cards/3725/issue",탄탄대로 올쇼핑카드,credit
3726,국민카드,kb,"https://www.banksalad.com/cards/3726/issue",탄탄대로 올쇼핑 티타늄카드,credit
3727,국민카드,kb,"https://www.banksalad.com/cards/3727/issue",CLiP카드,credit
3731,국민카드,kb,"https://www.banksalad.com/cards/3731/issue",삼성페이 KB국민카드,credit
3770,우리카드,woori,"https://www.banksalad.com/cards/3770/issue",카카오페이 check,check
3772,국민카드,kb,"https://www.banksalad.com/cards/3772/issue",카카오페이 KB국민 check,check
3777,하나카드,hana,"https://www.banksalad.com/cards/3777/issue",1Q Global VIVA,credit
3785,하나카드,hana,"https://www.banksalad.com/cards/3785/issue",Any PLUS 카드,credit
3790,기업카드,ibk,"https://www.banksalad.com/cards/3790/issue",쇼핑앤조이카드,credit
3808,국민카드,kb,"https://www.banksalad.com/cards/3808/issue",T-Premium KB국민카드,credit
3810,국민카드,kb,"https://www.banksalad.com/cards/3810/issue",LG U+ 심플라이트카드,credit
3825,케이뱅크,kbank,"https://www.banksalad.com/cards/3825/issue",케이뱅크 X 네이버페이 check2,check
3827,케이뱅크,kbank,"https://www.banksalad.com/cards/3827/issue",케이뱅크 X KT멤버십더블혜택 check,check
3828,하나카드,hana,"https://www.banksalad.com/cards/3828/issue",투뿔카드,credit
3830,기업카드,ibk,"https://www.banksalad.com/cards/3830/issue",제주항공 Refresh Point 카드,credit
3834,신한카드,shinhan,"https://www.banksalad.com/cards/3834/issue",신한카드 The ACE BLUE LABEL (아시아나클럽),credit
3840,현대카드,hyundai,"https://www.banksalad.com/cards/3840/issue",코스트코 리워드 현대카드,credit
3841,국민카드,kb,"https://www.banksalad.com/cards/3841/issue",Young Youth check,check
3842,국민카드,kb,"https://www.banksalad.com/cards/3842/issue",해피CU포인트 check,check
3843,신한카드,shinhan,"https://www.banksalad.com/cards/3843/issue",LG/GS/LS/LIG패밀리 신한카드 RPM Platinum#,credit
3844,국민카드,kb,"https://www.banksalad.com/cards/3844/issue",예다함 카드,credit
3845,NH카드,nh,"https://www.banksalad.com/cards/3845/issue",올바른GLOBALcheck,check
3847,삼성카드,samsung,"https://www.banksalad.com/cards/3847/issue",트레이더스신세계 삼성카드,credit
3848,삼성카드,samsung,"https://www.banksalad.com/cards/3848/issue",THE 1 (Mercedes-Benz),credit
3849,하나카드,hana,"https://www.banksalad.com/cards/3849/issue",CLUB Signature SKYPASS 카드,credit
3850,우리카드,woori,"https://www.banksalad.com/cards/3850/issue",카드의 정석 하이마트,credit
3851,우리카드,woori,"https://www.banksalad.com/cards/3851/issue",카드의 정석 PREMIUM POINT,credit
3852,우리카드,woori,"https://www.banksalad.com/cards/3852/issue",카드의 정석 PREMIUM MILEAGE (SKYPASS),credit
3853,우리카드,woori,"https://www.banksalad.com/cards/3853/issue",카드의 정석 PREMIUM MILEAGE (AsianaClub),credit
3854,신한카드,shinhan,"https://www.banksalad.com/cards/3854/issue",신세계 신한카드 (Asiana Club),credit
3855,하나카드,hana,"https://www.banksalad.com/cards/3855/issue",BS렌탈 하나카드,credit
3856,롯데카드,lotte,"https://www.banksalad.com/cards/3856/issue",SK매직 스페셜 롯데카드,credit
3857,삼성카드,samsung,"https://www.banksalad.com/cards/3857/issue",PAYCO taptap,credit
3858,신한카드,shinhan,"https://www.banksalad.com/cards/3858/issue",신한카드 YOLO ⓘ (미니언즈),credit
3859,신한카드,shinhan,"https://www.banksalad.com/cards/3859/issue",신한카드 YOLO Tasty (미니언즈),credit
3860,기업카드,ibk,"https://www.banksalad.com/cards/3860/issue",GD카드(체크),check
3861,하나카드,hana,"https://www.banksalad.com/cards/3861/issue",K리그 축덕 하나멤버스 1Q Play1 카드,credit
3863,하나카드,hana,"https://www.banksalad.com/cards/3863/issue",루비스톤 고객용 하나멤버스 Mega check,check
3864,우리카드,woori,"https://www.banksalad.com/cards/3864/issue",카드의 정석 COOKIE CHECK,check
3866,하나카드,hana,"https://www.banksalad.com/cards/3866/issue",1Q My Lunch,credit
3868,신한카드,shinhan,"https://www.banksalad.com/cards/3868/issue",신한카드 Air One,credit
3869,씨티카드,citi,"https://www.banksalad.com/cards/3869/issue",신세계 씨티 클리어 카드,credit
3871,대구은행,dgb,"https://www.banksalad.com/cards/3871/issue",DGB세븐캐쉬백카드,credit
3872,국민카드,kb,"https://www.banksalad.com/cards/3872/issue",KB국민 Easy pick카드,credit
3873,국민카드,kb,"https://www.banksalad.com/cards/3873/issue",KB국민 Easy fly 티타늄카드,credit
3874,국민카드,kb,"https://www.banksalad.com/cards/3874/issue",KB국민 Easy on카드,credit
3875,우리카드,woori,"https://www.banksalad.com/cards/3875/issue",ROYAL BLUE POINT,credit
3876,우리카드,woori,"https://www.banksalad.com/cards/3876/issue",ROYAL BLUE MILEAGE (SKYPASS),credit
3877,우리카드,woori,"https://www.banksalad.com/cards/3877/issue",ROYAL BLUE MILEAGE (AsianaClub),credit
3878,하나카드,hana,"https://www.banksalad.com/cards/3878/issue",My flight SKYPASS 카드,credit
3879,하나카드,hana,"https://www.banksalad.com/cards/3879/issue",My flight SKYPASS Prime 카드,credit
3880,하나카드,hana,"https://www.banksalad.com/cards/3880/issue",My flight AsianaClub 카드,credit
3881,국민카드,kb,"https://www.banksalad.com/cards/3881/issue",KB국민 Easy auto 티타늄카드,credit
3882,신한카드,shinhan,"https://www.banksalad.com/cards/3882/issue",LG U+ 스마트플랜 신한카드 BigPlus,credit
3885,신한카드,shinhan,"https://www.banksalad.com/cards/3885/issue",신한카드 Deep Dream 체크 (미니언즈),check
3886,하나카드,hana,"https://www.banksalad.com/cards/3886/issue",PAYCO 하나 check,check
3887,수협,sh,"https://www.banksalad.com/cards/3887/issue",Real! Wide check,check
3888,현대카드,hyundai,"https://www.banksalad.com/cards/3888/issue",현대카드 MY BUSINESS ZERO (포인트형),credit
3889,삼성카드,samsung,"https://www.banksalad.com/cards/3889/issue",홈플러스 삼성카드,credit
3890,국민카드,kb,"https://www.banksalad.com/cards/3890/issue",오버액션 노리 check(오버토끼),check
3891,기업카드,ibk,"https://www.banksalad.com/cards/3891/issue",ONE AIR (UniMile),credit
3892,국민카드,kb,"https://www.banksalad.com/cards/3892/issue",오버액션 노리 check(꼬마토끼),check
3893,국민카드,kb,"https://www.banksalad.com/cards/3893/issue",골든대로 check,check
3894,NH카드,nh,"https://www.banksalad.com/cards/3894/issue",T라이트카드,credit
3895,NH카드,nh,"https://www.banksalad.com/cards/3895/issue",펫블리(PETvely) 카드,credit
3896,NH카드,nh,"https://www.banksalad.com/cards/3896/issue",엘포인트카드(비씨),credit
3897,NH카드,nh,"https://www.banksalad.com/cards/3897/issue",KT수퍼할부카드(비씨),credit
3898,NH카드,nh,"https://www.banksalad.com/cards/3898/issue",경남 청년드림카드,check
3899,삼성카드,samsung,"https://www.banksalad.com/cards/3899/issue",전자랜드 삼성카드 3 V2,credit
3900,우리카드,woori,"https://www.banksalad.com/cards/3900/issue",카드의 정석 UniMile,credit
3901,하나카드,hana,"https://www.banksalad.com/cards/3901/issue",넥슨 던전앤파이터 check,check
3902,하나카드,hana,"https://www.banksalad.com/cards/3902/issue",넥슨 메이플스토리 check,check
3903,하나카드,hana,"https://www.banksalad.com/cards/3903/issue",뇌새김 하나카드,credit
3904,하나카드,hana,"https://www.banksalad.com/cards/3904/issue",리틀프렌즈 check,check
3905,하나카드,hana,"https://www.banksalad.com/cards/3905/issue",신세계 하나 check,check
3906,NH카드,nh,"https://www.banksalad.com/cards/3906/issue",평생교육희망카드 (비씨),check
3907,하나카드,hana,"https://www.banksalad.com/cards/3907/issue",아이스크림 홈런카드,credit
3908,하나카드,hana,"https://www.banksalad.com/cards/3908/issue",인슈 플러스 하나카드,credit
3909,하나카드,hana,"https://www.banksalad.com/cards/3909/issue",하나로마트 하나카드,credit
3910,우리카드,woori,"https://www.banksalad.com/cards/3910/issue",카드의 정석 CREAM TEENS CHECK,check
3911,우리카드,woori,"https://www.banksalad.com/cards/3911/issue",위니아대우 스마트 우리카드,credit
3912,삼성카드,samsung,"https://www.banksalad.com/cards/3912/issue",삼성카드 SFC 6 V3,credit
3913,신한카드,shinhan,"https://www.banksalad.com/cards/3913/issue",성남시 아동수당 신한카드 Deep Dream 체크,check
3914,NH카드,nh,"https://www.banksalad.com/cards/3914/issue",청년농업희망check (비씨),check
3915,삼성카드,samsung,"https://www.banksalad.com/cards/3915/issue",라이프파트너 삼성카드,credit
3916,삼성카드,samsung,"https://www.banksalad.com/cards/3916/issue",전우사랑 삼성카드,credit
3917,신한카드,shinhan,"https://www.banksalad.com/cards/3917/issue",광역알뜰교통 신한카드,credit
3918,하나카드,hana,"https://www.banksalad.com/cards/3918/issue",카카오 T 하나카드,credit
3919,우리카드,woori,"https://www.banksalad.com/cards/3919/issue",서울대학교 CHECK,check
3920,우리카드,woori,"https://www.banksalad.com/cards/3920/issue",LoL CHAMPIONS KOREA 우리check,check
3921,우리카드,woori,"https://www.banksalad.com/cards/3921/issue",한베가족 썸(SUM)타는 우리 check,check
3924,현대카드,hyundai,"https://www.banksalad.com/cards/3924/issue",현대모비스Family-현대카드M2 Platinum (사원증),credit
3925,우리카드,woori,"https://www.banksalad.com/cards/3925/issue",카드의 정석 WOWRI,credit
3926,신한카드,shinhan,"https://www.banksalad.com/cards/3926/issue",카카오페이 신한 check (무지),check
3927,국민카드,kb,"https://www.banksalad.com/cards/3927/issue",KB국민 선생님든든 카드,credit
3928,삼성카드,samsung,"https://www.banksalad.com/cards/3928/issue",경기도청 패밀리 삼성카드 4 (포인트),credit
3929,신한카드,shinhan,"https://www.banksalad.com/cards/3929/issue",THE BOON VIP 신한카드,credit
3930,국민카드,kb,"https://www.banksalad.com/cards/3930/issue",육군사관학교 학생증 KB국민 해피노리 check,check
3931,신한카드,shinhan,"https://www.banksalad.com/cards/3931/issue",신한카드 Deep On 체크,check
3933,우리카드,woori,"https://www.banksalad.com/cards/3933/issue",광역알뜰교통 우리카드 (체크),check
3934,하나카드,hana,"https://www.banksalad.com/cards/3934/issue",K리그 축덕 Young Hana check with OKcashbag,check
3935,우리카드,woori,"https://www.banksalad.com/cards/3935/issue",카드의 정석 UniMile CHECK,check
3936,국민카드,kb,"https://www.banksalad.com/cards/3936/issue",이마트 KB국민카드(DISCOUNT STORE),credit
3937,하나카드,hana,"https://www.banksalad.com/cards/3937/issue",LG전자 렌탈 플러스 하나카드,credit
3938,대구은행,dgb,"https://www.banksalad.com/cards/3938/issue",부자되세요 더 오일카드,credit
3939,신한카드,shinhan,"https://www.banksalad.com/cards/3939/issue",신한카드 Deep ECO,credit
3941,국민카드,kb,"https://www.banksalad.com/cards/3941/issue",KB국민 FINETECH카드(대한항공),credit
3942,국민카드,kb,"https://www.banksalad.com/cards/3942/issue",KB국민 Easy fly 티타늄카드,credit
3943,국민카드,kb,"https://www.banksalad.com/cards/3943/issue",KB국민 청춘대로 매니아i카드,credit
3945,신한카드,shinhan,"https://www.banksalad.com/cards/3945/issue",신한카드 Deep Dream Platinum+ (미니언즈),credit
3946,신한카드,shinhan,"https://www.banksalad.com/cards/3946/issue",신한카드 S-Line 체크 (미니언즈),check
3947,삼성카드,samsung,"https://www.banksalad.com/cards/3947/issue",신세계사이먼 프리미엄 아울렛 삼성카드,credit
3948,기업카드,ibk,"https://www.banksalad.com/cards/3948/issue",쇼핑앤조이 카드,credit
3951,롯데카드,lotte,"https://www.banksalad.com/cards/3951/issue",I’m GREAT,credit
3953,현대카드,hyundai,"https://www.banksalad.com/cards/3953/issue",SSG.COM카드,credit
3957,우리카드,woori,"https://www.banksalad.com/cards/3957/issue",MG새마을금고 카드의 정석 POINT,credit
3958,신한카드,shinhan,"https://www.banksalad.com/cards/3958/issue",한국전력공사 복지 신한카드 Love,credit
3959,신한카드,shinhan,"https://www.banksalad.com/cards/3959/issue",신한카드 The BEST+ (대한항공),credit
3960,신한카드,shinhan,"https://www.banksalad.com/cards/3960/issue",신한카드 The BEST+ (아시아나항공),credit
3961,신한카드,shinhan,"https://www.banksalad.com/cards/3961/issue",SOL Deep Dream 신한카드 체크,check
3962,신한카드,shinhan,"https://www.banksalad.com/cards/3962/issue",신한카드 B.Big(삑),credit
3964,롯데카드,lotte,"https://www.banksalad.com/cards/3964/issue",I＇m Powerful,credit
3965,NH카드,nh,"https://www.banksalad.com/cards/3965/issue",올바른 POINT UP +,credit
3968,롯데카드,lotte,"https://www.banksalad.com/cards/3968/issue",I＇m ACTIVE,credit
3969,롯데카드,lotte,"https://www.banksalad.com/cards/3969/issue",I＇m YOLO 플래티넘,credit
3970,롯데카드,lotte,"https://www.banksalad.com/cards/3970/issue",I＇m Wonderful Plus,credit
3972,우리카드,woori,"https://www.banksalad.com/cards/3972/issue",D4@카드의정석,credit
3973,삼성카드,samsung,"https://www.banksalad.com/cards/3973/issue",삼성카드 2 V4,credit
3976,삼성카드,samsung,"https://www.banksalad.com/cards/3976/issue",삼성카드 5 V4,credit
3978,국민카드,kb,"https://www.banksalad.com/cards/3978/issue",카카오뱅크 KB국민카드,credit
